"createdon_date","seats"
2015-08-28,89
2015-08-29,96
2015-08-30,117
2015-08-31,157
2015-09-01,208
2015-09-02,197
2015-09-03,146
2015-09-04,186
2015-09-05,112
2015-09-06,167
2015-09-07,195
2015-09-08,204
2015-09-09,201
2015-09-10,190
2015-09-11,192
2015-09-12,179
2015-09-13,241
2015-09-14,188
2015-09-15,233
2015-09-16,182
2015-09-17,219
2015-09-18,212
2015-09-19,195
2015-09-20,274
2015-09-21,219
2015-09-22,231
2015-09-23,330
2015-09-24,230
2015-09-25,269
2015-09-26,223
2015-09-27,200
2015-09-28,234
2015-09-29,272
2015-09-30,259
2015-10-01,217
2015-10-02,147
2015-10-03,255
2015-10-04,281
2015-10-05,389
2015-10-06,318
2015-10-07,327
2015-10-08,311
2015-10-09,227
2015-10-10,236
2015-10-11,311
2015-10-12,432
2015-10-13,419
2015-10-14,344
2015-10-15,421
2015-10-16,307
2015-10-17,342
2015-10-18,408
2015-10-19,402
2015-10-20,406
2015-10-21,406
2015-10-22,366
2015-10-23,388
2015-10-24,280
2015-10-25,310
2015-10-26,380
2015-10-27,503
2015-10-28,407
2015-10-29,371
2015-10-30,333
2015-10-31,332
2015-11-01,347
2015-11-02,501
2015-11-03,533
2015-11-04,416
2015-11-05,492
2015-11-06,436
2015-11-07,369
2015-11-08,452
2015-11-09,498
2015-11-10,614
2015-11-11,401
2015-11-12,604
2015-11-13,492
2015-11-14,378
2015-11-15,460
2015-11-16,582
2015-11-17,625
2015-11-18,512
2015-11-19,541
2015-11-20,385
2015-11-21,436
2015-11-22,595
2015-11-23,524
2015-11-24,589
2015-11-25,497
2015-11-26,556
2015-11-27,456
2015-11-28,364
2015-11-29,499
2015-11-30,517
2015-12-01,624
2015-12-02,739
2015-12-03,552
2015-12-04,546
2015-12-05,494
2015-12-06,609
2015-12-07,655
2015-12-08,747
2015-12-09,624
2015-12-10,507
2015-12-11,576
2015-12-12,414
2015-12-13,556
2015-12-14,642
2015-12-15,557
2015-12-16,563
2015-12-17,497
2015-12-18,423
2015-12-19,440
2015-12-20,583
2015-12-21,645
2015-12-22,577
2015-12-23,514
2015-12-24,385
2015-12-25,316
2015-12-26,440
2015-12-27,543
2015-12-28,550
2015-12-29,548
2015-12-30,603
2015-12-31,611
2016-01-01,368
2016-01-02,619
2016-01-03,646
2016-01-04,686
2016-01-05,661
2016-01-06,446
2016-01-07,555
2016-01-08,484
2016-01-09,559
2016-01-10,558
2016-01-11,693
2016-01-12,578
2016-01-13,647
2016-01-14,485
2016-01-15,554
2016-01-16,466
2016-01-17,447
2016-01-18,556
2016-01-19,521
2016-01-20,465
2016-01-21,596
2016-01-22,437
2016-01-23,488
2016-01-24,513
2016-01-25,551
2016-01-26,497
2016-01-27,478
2016-01-28,600
2016-01-29,465
2016-01-30,561
2016-01-31,503
2016-02-01,581
2016-02-02,491
2016-02-03,551
2016-02-04,613
2016-02-05,460
2016-02-06,512
2016-02-07,410
2016-02-08,550
2016-02-09,545
2016-02-10,496
2016-02-11,611
2016-02-12,485
2016-02-13,472
2016-02-14,565
2016-02-15,648
2016-02-16,499
2016-02-17,555
2016-02-18,546
2016-02-19,452
2016-02-20,338
2016-02-21,381
2016-02-22,547
2016-02-23,452
2016-02-24,393
2016-02-25,439
2016-02-26,320
2016-02-27,331
2016-02-28,384
2016-02-29,478
2016-03-01,391
2016-03-02,449
2016-03-03,391
2016-03-04,368
2016-03-05,400
2016-03-06,408
2016-03-07,427
2016-03-08,531
2016-03-09,504
2016-03-10,470
2016-03-11,569
2016-03-12,397
2016-03-13,552
2016-03-14,508
2016-03-15,477
2016-03-16,535
2016-03-17,389
2016-03-18,466
2016-03-19,503
2016-03-20,432
2016-03-21,582
2016-03-22,427
2016-03-23,453
2016-03-24,416
2016-03-25,397
2016-03-26,452
2016-03-27,368
2016-03-28,441
2016-03-29,679
2016-03-30,465
2016-03-31,357
2016-04-01,443
2016-04-02,392
2016-04-03,425
2016-04-04,546
2016-04-05,536
2016-04-06,494
2016-04-07,450
2016-04-08,439
2016-04-09,387
2016-04-10,416
2016-04-11,406
2016-04-12,558
2016-04-13,441
2016-04-14,485
2016-04-15,366
2016-04-16,327
2016-04-17,454
2016-04-18,377
2016-04-19,326
2016-04-20,378
2016-04-21,334
2016-04-22,304
2016-04-23,386
2016-04-24,373
2016-04-25,472
2016-04-26,422
2016-04-27,402
2016-04-28,381
2016-04-29,381
2016-04-30,356
2016-05-01,451
2016-05-02,449
2016-05-03,482
2016-05-04,466
2016-05-05,365
2016-05-06,343
2016-05-07,341
2016-05-08,421
2016-05-09,443
2016-05-10,393
2016-05-11,439
2016-05-12,425
2016-05-13,356
2016-05-14,404
2016-05-15,488
2016-05-16,601
2016-05-17,435
2016-05-18,479
2016-05-19,476
2016-05-20,394
2016-05-21,342
2016-05-22,338
2016-05-23,393
2016-05-24,424
2016-05-25,378
2016-05-26,301
2016-05-27,335
2016-05-28,406
2016-05-29,381
2016-05-30,575
2016-05-31,459
2016-06-01,408
2016-06-02,425
2016-06-03,454
2016-06-04,384
2016-06-05,496
2016-06-06,543
2016-06-07,502
2016-06-08,643
2016-06-09,385
2016-06-10,459
2016-06-11,504
2016-06-12,561
2016-06-13,611
2016-06-14,523
2016-06-15,509
2016-06-16,544
2016-06-17,413
2016-06-18,461
2016-06-19,583
2016-06-20,609
2016-06-21,554
2016-06-22,565
2016-06-23,538
2016-06-24,503
2016-06-25,509
2016-06-26,553
2016-06-27,573
2016-06-28,522
2016-06-29,623
2016-06-30,442
2016-07-01,716
2016-07-02,455
2016-07-03,546
2016-07-04,711
2016-07-05,874
2016-07-06,774
2016-07-07,707
2016-07-08,576
2016-07-09,720
2016-07-10,838
2016-07-11,806
2016-07-12,874
2016-07-13,839
2016-07-14,812
2016-07-15,733
2016-07-16,688
2016-07-17,913
2016-07-18,810
2016-07-19,691
2016-07-20,739
2016-07-21,627
2016-07-22,649
2016-07-23,573
2016-07-24,672
2016-07-25,760
2016-07-26,812
2016-07-27,725
2016-07-28,726
2016-07-29,772
2016-07-30,470
2016-07-31,726
2016-08-01,794
2016-08-02,764
2016-08-03,855
2016-08-04,741
2016-08-05,646
2016-08-06,665
2016-08-07,695
2016-08-08,759
2016-08-09,758
2016-08-10,823
2016-08-11,755
2016-08-12,734
2016-08-13,572
2016-08-14,582
2016-08-15,692
2016-08-16,668
2016-08-17,518
2016-08-18,621
2016-08-19,529
2016-08-20,413
2016-08-21,504
2016-08-22,510
2016-08-23,535
2016-08-24,533
2016-08-25,403
2016-08-26,429
2016-08-27,407
2016-08-28,540
2016-08-29,469
2016-08-30,414
2016-08-31,487
2016-09-01,413
2016-09-02,409
2016-09-03,484
2016-09-04,497
2016-09-05,557
2016-09-06,639
2016-09-07,618
2016-09-08,528
2016-09-09,518
2016-09-10,440
2016-09-11,653
2016-09-12,516
2016-09-13,603
2016-09-14,640
2016-09-15,502
2016-09-16,565
2016-09-17,515
2016-09-18,428
2016-09-19,592
2016-09-20,474
2016-09-21,621
2016-09-22,495
2016-09-23,392
2016-09-24,397
2016-09-25,448
2016-09-26,609
2016-09-27,512
2016-09-28,604
2016-09-29,498
2016-09-30,574
2016-10-01,408
2016-10-02,656
2016-10-03,705
2016-10-04,609
2016-10-05,644
2016-10-06,764
2016-10-07,673
2016-10-08,629
2016-10-09,774
2016-10-10,761
2016-10-11,841
2016-10-12,771
2016-10-13,821
2016-10-14,639
2016-10-15,546
2016-10-16,733
2016-10-17,806
2016-10-18,714
2016-10-19,712
2016-10-20,699
2016-10-21,661
2016-10-22,716
2016-10-23,668
2016-10-24,826
2016-10-25,884
2016-10-26,885
2016-10-27,715
2016-10-28,726
2016-10-29,677
2016-10-30,970
2016-10-31,1066
2016-11-01,1060
2016-11-02,957
2016-11-03,897
2016-11-04,861
2016-11-05,1018
2016-11-06,1167
2016-11-07,1045
2016-11-08,1045
2016-11-09,1095
2016-11-10,1103
2016-11-11,1043
2016-11-12,842
2016-11-13,1002
2016-11-14,1118
2016-11-15,1021
2016-11-16,1027
2016-11-17,842
2016-11-18,947
2016-11-19,865
2016-11-20,1055
2016-11-21,1046
2016-11-22,975
2016-11-23,963
2016-11-24,1062
2016-11-25,819
2016-11-26,697
2016-11-27,945
2016-11-28,1121
2016-11-29,1031
2016-11-30,1125
2016-12-01,1134
2016-12-02,1090
2016-12-03,802
2016-12-04,1147
2016-12-05,1256
2016-12-06,1248
2016-12-07,1259
2016-12-08,1272
2016-12-09,1029
2016-12-10,854
2016-12-11,1158
2016-12-12,1307
2016-12-13,1196
2016-12-14,1243
2016-12-15,1193
2016-12-16,1176
2016-12-17,964
2016-12-18,1154
2016-12-19,1302
2016-12-20,1199
2016-12-21,1185
2016-12-22,963
2016-12-23,1017
2016-12-24,878
2016-12-25,757
2016-12-26,1079
2016-12-27,1182
2016-12-28,1215
2016-12-29,1158
2016-12-30,1170
2016-12-31,926
2017-01-01,862
2017-01-02,1242
2017-01-03,1368
2017-01-04,1462
2017-01-05,1379
2017-01-06,1296
2017-01-07,1232
2017-01-08,1235
2017-01-09,1352
2017-01-10,1369
2017-01-11,1347
2017-01-12,1237
2017-01-13,1268
2017-01-14,1136
2017-01-15,1246
2017-01-16,1292
2017-01-17,1264
2017-01-18,1132
2017-01-19,1224
2017-01-20,1162
2017-01-21,977
2017-01-22,1306
2017-01-23,1213
2017-01-24,1364
2017-01-25,1300
2017-01-26,1099
2017-01-27,1055
2017-01-28,1054
2017-01-29,1047
2017-01-30,1307
2017-01-31,1047
2017-02-01,1232
2017-02-02,1194
2017-02-03,1200
2017-02-04,1057
2017-02-05,1192
2017-02-06,1435
2017-02-07,1255
2017-02-08,1258
2017-02-09,1207
2017-02-10,1075
2017-02-11,1008
2017-02-12,1234
2017-02-13,1219
2017-02-14,890
2017-02-15,1093
2017-02-16,1095
2017-02-17,912
2017-02-18,889
2017-02-19,1016
2017-02-20,1111
2017-02-21,955
2017-02-22,1152
2017-02-23,1127
2017-02-24,870
2017-02-25,729
2017-02-26,990
2017-02-27,1055
2017-02-28,1006
2017-03-01,1113
2017-03-02,1049
2017-03-03,972
2017-03-04,889
2017-03-05,1001
2017-03-06,1136
2017-03-07,929
2017-03-08,1027
2017-03-09,1015
2017-03-10,1027
2017-03-11,786
2017-03-12,979
2017-03-13,1056
2017-03-14,1047
2017-03-15,930
2017-03-16,950
2017-03-17,880
2017-03-18,892
2017-03-19,950
2017-03-20,935
2017-03-21,906
2017-03-22,1047
2017-03-23,835
2017-03-24,746
2017-03-25,789
2017-03-26,800
2017-03-27,959
2017-03-28,1035
2017-03-29,775
2017-03-30,924
2017-03-31,687
2017-04-01,837
2017-04-02,986
2017-04-03,979
2017-04-04,1130
2017-04-05,1161
2017-04-06,1170
2017-04-07,1014
2017-04-08,807
2017-04-09,1009
2017-04-10,959
2017-04-11,1007
2017-04-12,866
2017-04-13,814
2017-04-14,744
2017-04-15,718
2017-04-16,708
2017-04-17,891
2017-04-18,831
2017-04-19,816
2017-04-20,757
2017-04-21,692
2017-04-22,725
2017-04-23,771
2017-04-24,790
2017-04-25,762
2017-04-26,789
2017-04-27,656
2017-04-28,697
2017-04-29,818
2017-04-30,724
2017-05-01,1045
2017-05-02,884
2017-05-03,869
2017-05-04,1033
2017-05-05,800
2017-05-06,852
2017-05-07,902
2017-05-08,912
2017-05-09,1064
2017-05-10,957
2017-05-11,815
2017-05-12,762
2017-05-13,877
2017-05-14,814
2017-05-15,863
2017-05-16,826
2017-05-17,845
2017-05-18,806
2017-05-19,791
2017-05-20,836
2017-05-21,833
2017-05-22,886
2017-05-23,934
2017-05-24,974
2017-05-25,951
2017-05-26,846
2017-05-27,832
2017-05-28,1020
2017-05-29,992
2017-05-30,1010
2017-05-31,912
2017-06-01,904
2017-06-02,886
2017-06-03,779
2017-06-04,989
2017-06-05,1245
2017-06-06,1186
2017-06-07,1115
2017-06-08,965
2017-06-09,901
2017-06-10,952
2017-06-11,1047
2017-06-12,1244
2017-06-13,1136
2017-06-14,938
2017-06-15,1044
2017-06-16,903
2017-06-17,933
2017-06-18,1026
2017-06-19,1114
2017-06-20,1084
2017-06-21,1143
2017-06-22,1099
2017-06-23,1004
2017-06-24,1064
2017-06-25,1445
2017-06-26,1277
2017-06-27,1248
2017-06-28,1212
2017-06-29,1166
2017-06-30,1131
2017-07-01,1188
2017-07-02,1471
2017-07-03,1567
2017-07-04,1577
2017-07-05,1674
2017-07-06,1513
2017-07-07,1471
2017-07-08,1429
2017-07-09,1416
2017-07-10,1484
2017-07-11,1558
2017-07-12,1510
2017-07-13,1547
2017-07-14,1460
2017-07-15,1193
2017-07-16,1580
2017-07-17,1566
2017-07-18,1530
2017-07-19,1572
2017-07-20,1558
2017-07-21,1412
2017-07-22,1500
2017-07-23,1483
2017-07-24,1478
2017-07-25,1581
2017-07-26,1496
2017-07-27,1695
2017-07-28,1401
2017-07-29,1330
2017-07-30,1313
2017-07-31,1410
2017-08-01,1520
2017-08-02,1770
2017-08-03,1641
2017-08-04,1453
2017-08-05,1528
2017-08-06,1505
2017-08-07,1558
2017-08-08,1568
2017-08-09,1654
2017-08-10,1529
2017-08-11,1558
2017-08-12,1410
2017-08-13,1205
2017-08-14,1320
2017-08-15,1421
2017-08-16,1267
2017-08-17,1178
2017-08-18,1160
2017-08-19,1037
2017-08-20,1188
2017-08-21,1049
2017-08-22,1135
2017-08-23,1213
2017-08-24,1125
2017-08-25,992
2017-08-26,926
2017-08-27,990
2017-08-28,1019
2017-08-29,1054
2017-08-30,1008
2017-08-31,956
2017-09-01,910
2017-09-02,847
2017-09-03,1101
2017-09-04,1082
2017-09-05,998
2017-09-06,1078
2017-09-07,925
2017-09-08,852
2017-09-09,762
2017-09-10,1085
2017-09-11,969
2017-09-12,1015
2017-09-13,1128
2017-09-14,975
2017-09-15,922
2017-09-16,981
2017-09-17,1069
2017-09-18,1018
2017-09-19,930
2017-09-20,1020
2017-09-21,982
2017-09-22,907
2017-09-23,887
2017-09-24,970
2017-09-25,1279
2017-09-26,1155
2017-09-27,1124
2017-09-28,1089
2017-09-29,1068
2017-09-30,1003
2017-10-01,1258
2017-10-02,1375
2017-10-03,1361
2017-10-04,1215
2017-10-05,1377
2017-10-06,1116
2017-10-07,1219
2017-10-08,1544
2017-10-09,1388
2017-10-10,1401
2017-10-11,1475
2017-10-12,1325
2017-10-13,1095
2017-10-14,1092
2017-10-15,1386
2017-10-16,1439
2017-10-17,1414
2017-10-18,1427
2017-10-19,1349
2017-10-20,1480
2017-10-21,1363
2017-10-22,1636
2017-10-23,1636
2017-10-24,1669
2017-10-25,1607
2017-10-26,1583
2017-10-27,1462
2017-10-28,1354
2017-10-29,1733
2017-10-30,1750
2017-10-31,1514
2017-11-01,1590
2017-11-02,1728
2017-11-03,1653
2017-11-04,1741
2017-11-05,2037
2017-11-06,1855
2017-11-07,1770
2017-11-08,1771
2017-11-09,2027
2017-11-10,1658
2017-11-11,1748
2017-11-12,2106
2017-11-13,2066
2017-11-14,1984
2017-11-15,2133
2017-11-16,1621
2017-11-17,1649
2017-11-18,1614
2017-11-19,2130
2017-11-20,2157
2017-11-21,1997
2017-11-22,1908
2017-11-23,1686
2017-11-24,1626
2017-11-25,1523
2017-11-26,1947
2017-11-27,1921
2017-11-28,1791
2017-11-29,1880
2017-11-30,2042
2017-12-01,1783
2017-12-02,1641
2017-12-03,2307
2017-12-04,2407
2017-12-05,2210
2017-12-06,2113
2017-12-07,2135
2017-12-08,1802
2017-12-09,1912
2017-12-10,2201
2017-12-11,2339
2017-12-12,2228
2017-12-13,2042
2017-12-14,2249
2017-12-15,2103
2017-12-16,1953
2017-12-17,2176
2017-12-18,2317
2017-12-19,2176
2017-12-20,2291
2017-12-21,2238
2017-12-22,2106
2017-12-23,1838
2017-12-24,1879
2017-12-25,1837
2017-12-26,2462
2017-12-27,2584
2017-12-28,2693
2017-12-29,2490
2017-12-30,2331
2017-12-31,2135
2018-01-01,2080
2018-01-02,2714
2018-01-03,2579
2018-01-04,2930
2018-01-05,2986
2018-01-06,2540
2018-01-07,3119
2018-01-08,3043
2018-01-09,2726
2018-01-10,2762
2018-01-11,2893
2018-01-12,2523
2018-01-13,2627
2018-01-14,2941
2018-01-15,3188
2018-01-16,2781
2018-01-17,3139
2018-01-18,2809
2018-01-19,2869
2018-01-20,2520
2018-01-21,3057
2018-01-22,3019
2018-01-23,2778
2018-01-24,2860
2018-01-25,2879
2018-01-26,2528
2018-01-27,2495
2018-01-28,2841
2018-01-29,2816
2018-01-30,2684
2018-01-31,2814
2018-02-01,2823
2018-02-02,2602
2018-02-03,2726
2018-02-04,2922
2018-02-05,2826
2018-02-06,2891
2018-02-07,3046
2018-02-08,3122
2018-02-09,2677
2018-02-10,2793
2018-02-11,2931
2018-02-12,3338
2018-02-13,2964
2018-02-14,2899
2018-02-15,2861
2018-02-16,2786
2018-02-17,2608
2018-02-18,2894
2018-02-19,3158
2018-02-20,2813
2018-02-21,2771
2018-02-22,2734
2018-02-23,2527
2018-02-24,2399
2018-02-25,2676
2018-02-26,2762
2018-02-27,2757
2018-02-28,2596
2018-03-01,2663
2018-03-02,2387
2018-03-03,2535
2018-03-04,2961
2018-03-05,2981
2018-03-06,2552
2018-03-07,2698
2018-03-08,2628
2018-03-09,2604
2018-03-10,2356
2018-03-11,2630
2018-03-12,2873
2018-03-13,2390
2018-03-14,2554
2018-03-15,2541
2018-03-16,2179
2018-03-17,1860
2018-03-18,2800
2018-03-19,2380
2018-03-20,2448
2018-03-21,2242
2018-03-22,2225
2018-03-23,2208
2018-03-24,2037
2018-03-25,2334
2018-03-26,2379
2018-03-27,2308
2018-03-28,2352
2018-03-29,2169
2018-03-30,1934
2018-03-31,1885
2018-04-01,2230
2018-04-02,2533
2018-04-03,2276
2018-04-04,2076
2018-04-05,2105
2018-04-06,2151
2018-04-07,2081
2018-04-08,2155
2018-04-09,2119
2018-04-10,2019
2018-04-11,2089
2018-04-12,1795
2018-04-13,1580
2018-04-14,1812
2018-04-15,2074
2018-04-16,2000
2018-04-17,1943
2018-04-18,1917
2018-04-19,1875
2018-04-20,1843
2018-04-21,1609
2018-04-22,1657
2018-04-23,1979
2018-04-24,1838
2018-04-25,1659
2018-04-26,1592
2018-04-27,1671
2018-04-28,1777
2018-04-29,2064
2018-04-30,1978
2018-05-01,2086
2018-05-02,1800
2018-05-03,1888
2018-05-04,1611
2018-05-05,1510
2018-05-06,1727
2018-05-07,1807
2018-05-08,1807
2018-05-09,1753
2018-05-10,1746
2018-05-11,1551
2018-05-12,1358
2018-05-13,1575
